split_seed,probe_C,severity,accuracy
42,0.1,0,0.9416666666666667
42,0.1,1,0.95
42,0.1,2,0.9
42,0.1,3,0.6166666666666667
42,0.1,4,0.25
42,0.1,5,0.10833333333333334
42,1.0,0,0.9333333333333333
42,1.0,1,0.95
42,1.0,2,0.9
42,1.0,3,0.6166666666666667
42,1.0,4,0.23333333333333334
42,1.0,5,0.10833333333333334
42,10.0,0,0.9416666666666667
42,10.0,1,0.9416666666666667
42,10.0,2,0.9
42,10.0,3,0.6166666666666667
42,10.0,4,0.25
42,10.0,5,0.10833333333333334
43,0.1,0,0.925
43,0.1,1,0.925
43,0.1,2,0.85
43,0.1,3,0.625
43,0.1,4,0.23333333333333334
43,0.1,5,0.09166666666666666
43,1.0,0,0.9166666666666666
43,1.0,1,0.9166666666666666
43,1.0,2,0.8583333333333333
43,1.0,3,0.6416666666666667
43,1.0,4,0.23333333333333334
43,1.0,5,0.09166666666666666
43,10.0,0,0.9083333333333333
43,10.0,1,0.925
43,10.0,2,0.85
43,10.0,3,0.625
43,10.0,4,0.225
43,10.0,5,0.09166666666666666
44,0.1,0,0.9083333333333333
44,0.1,1,0.9416666666666667
44,0.1,2,0.925
44,0.1,3,0.7666666666666667
44,0.1,4,0.3416666666666667
44,0.1,5,0.11666666666666667
44,1.0,0,0.9166666666666666
44,1.0,1,0.9416666666666667
44,1.0,2,0.9333333333333333
44,1.0,3,0.7916666666666666
44,1.0,4,0.35833333333333334
44,1.0,5,0.13333333333333333
44,10.0,0,0.9083333333333333
44,10.0,1,0.9333333333333333
44,10.0,2,0.925
44,10.0,3,0.7583333333333333
44,10.0,4,0.325
44,10.0,5,0.13333333333333333
